4	2.7612	680
3	2.7710	679
2	2.7955	678
1	2.7601	677
5	2.7676	676
4	2.7590	675
3	2.7837	674
2	2.7813	673
1	2.7841	672
5	2.7970	671
4	2.7930	670
3	2.8017	669
2	2.7935	668
1	2.8099	667
5	2.8125	666
4	2.8090	665
3	2.8195	664
2	2.8071	663
1	2.8154	662
5	2.7905	661
4	2.7741	660
3	2.7751	659
2	2.8066  658
1	2.7771	657
5	2.7632	1
4	2.766	2
3	2.7652	3
2	2.762	4
1	2.7704	5
5	2.7803	6
4	2.7662	7
3	2.7414	8
2	2.7434	9
1	2.7621	10
5	2.7633	11
4	2.7491	12
3	2.7377	13
2	2.7267	14
1	2.7302	15
5	2.749	16
4	2.7306	17
3	2.7443	18
2	2.7492	19
1	2.7472	20
5	2.7392	21
4	2.7423	22
3	2.7192	23
2	2.735	24
1	2.7339	25
5	2.7283	26
4	2.7097	27
3	2.7103	28
2	2.7052	29
1	2.6998	30
5	2.675	31
4	2.6874	32
3	2.6846	33
2	2.672	34
1	2.6556	35
5	2.6951	36
4	2.6982	37
3	2.6974	38
2	2.7008	39
1	2.7159	40
5	2.7285	41
4	2.7477	42
3	2.7569	43
2	2.7629	44
1	2.7767	45
5	2.7754	46
4	2.7719	47
3	2.7554	48
2	2.7576	49
1	2.7602	50
5	2.7663	51
4	2.7746	52
3	2.7901	53
2	2.7812	54
1	2.7863	55
5	2.7949	56
4	2.8246	57
3	2.8351	58
2	2.8296	59
1	2.8164	60
5	2.7793	61
4	2.7876	62
3	2.7877	63
5	2.8012	64
4	2.7953	65
3	2.7829	66
2	2.8117	67
1	2.7978	68
5	2.7906	69
4	2.7959	70
3	2.7742	71
2	2.7651	72
1	2.7604	73
5	2.7526	74
4	2.7405	75
3	2.737	76
2	2.7502	77
1	2.7531	78
5	2.7565	79
4	2.7604	80
3	2.8016	81
2	2.8074	82
5	2.8323	83
4	2.8237	84
3	2.8182	85
2	2.8306	86
1	2.8333	87
5	2.851	88
4	2.8523	89
3	2.8549	90
2	2.8586	91
1	2.8664	92
5	2.8633	93
4	2.8642	94
3	2.8415	95
2	2.8157	96
1	2.8115	97
5	2.8267	98
4	2.7994	99
3	2.8035	100
5	2.7755	101
4	2.7936	102
3	2.7949	103
2	2.7998	104
1	2.803	105
5	2.7764	106
4	2.7797	107
3	2.7797	108
2	2.755	109
1	2.7682	110
5	2.7539	111
4	2.7561	112
3	2.7127	113
2	2.7108	114
1	2.7258	115
5	2.7021	116
4	2.7198	117
3	2.7354	118
2	2.7511	119
1	2.7627	120
5	2.7597	121
4	2.7808	122
3	2.7773	123
2	2.8153	124
1	2.8034	125
5	2.7938	126
4	2.7597	127
3	2.7537	128
2	2.7533	129
1	2.7529	130
5	2.7554	131
4	2.7472	132
3	2.7319	133
2	2.7386	134
1	2.7444	135
5	2.7262	136
4	2.761	137
3	2.7415	138
2	2.7395	139
1	2.7158	140
5	2.6909	141
4	2.6605	142
3	2.6787	143
2	2.6965	144
1	2.7009	145
5	2.6886	146
4	2.6783	147
3	2.7084	148
2	2.7198	149
1	2.7031	150
5	2.686	151
4	2.6914	152
3	2.6889	153
2	2.6792	154
1	2.6569	155
5	2.651	156
4	2.6455	157
3	2.6468	158
2	2.6348	159
5	2.6374	160
4	2.6282	161
3	2.6175	162
2	2.6151	163
1	2.6125	164
5	2.5992	165
4	2.5985	166
3	2.6081	167
2	2.6194	168
1	2.6263	169
5	2.6198	170
4	2.629	171
3	2.6582	172
2	2.6522	173
1	2.6489	174
5	2.6639	175
4	2.6839	176
3	2.6533	177
2	2.6458	178
1	2.649	179
5	2.6522	180
4	2.6544	181
3	2.6781	182
2	2.6863	183
1	2.7049	184
5	2.6922	185
4	2.7031	186
3	2.7291	187
2	2.7233	188
1	2.7264	189
5	2.7065	190
4	2.7336	191
3	2.7317	192
2	2.735	193
1	2.7189	194
5	2.7833	195
4	2.8244	196
3	2.8825	197
2	2.8055	198
1	2.8123	199
5	2.8278	200
4	2.8358	201
3	2.8244	202
2	2.8	203
1	2.7884	204
5	2.7746	205
4	2.7758	206
3	2.7866	207
2	2.7721	208
1	2.7678	209
5	2.7547	210
4	2.7593	211
3	2.7453	212
2	2.7486	213
1	2.7296	214
5	2.7275	215
4	2.7313	216
3	2.726	217
2	2.7327	218
1	2.7324	219
5	2.849	220
4	2.845	221
3	2.8487	222
2	2.8744	223
1	2.871	224
5	2.8677	225
4	2.868	226
3	2.8435	227
2	2.8348	228
1	2.8375	229
3	2.849	230
2	2.8609	231
1	2.8634	232
5	2.8762	233
4	2.8914	234
3	2.8931	235
2	2.8621	236
1	2.8523	237
5	2.8236	238
4	2.8143	239
3	2.8311	240
2	2.8393	241
1	2.8349	242
5	2.8478	243
4	2.8483	244
3	2.8664	245
2	2.8675	246
1	2.863	247
5	2.8814	248
4	2.8881	249
3	2.8673	250
2	2.8795	251
1	2.8736	252
5	2.8684	253
4	2.8784	254
3	2.8951	255
2	2.8885	256
1	2.8637	257
5	2.9202	258
4	2.8896	259
3	2.9182	260
2	2.9002	261
1	2.8812	262
5	2.8581	263
4	2.8763	264
3	2.8362	265
2	2.8395	266
1	2.8327	267
5	2.8497	268
4	2.8333	269
3	2.8584	270
2	2.8698	271
1	2.8627	272
5	2.87	273
4	2.874	274
3	2.8933	275
2	2.9232	276
1	2.929	277
5	2.9158	278
4	2.942	279
3	2.9375	280
2	2.8871	281
1	2.8989	282
5	2.8599	283
4	2.8173	284
3	2.8319	285
2	2.8191	286
1	2.8298	287
5	2.8141	288
4	2.6914	289
3	2.688	290
2	2.7186	291
1	2.7222	292
5	2.7291	293
4	2.7788	294
3	2.7296	295
2	2.7168	296
1	2.7194	297
3	2.6526	298
2	2.6308	299
1	2.6268	300
5	2.576	301
4	2.5817	302
3	2.5849	303
2	2.5712	304
1	2.5557	305
5	2.5827	306
4	2.5999	307
3	2.5876	308
2	2.6268	309
1	2.6433	310
5	2.6464	311
4	2.6486	312
3	2.6812	313
2	2.6809	314
1	2.695	315
5	2.6766	316
4	2.6659	317
3	2.6719	318
2	2.6617	319
1	2.6826	320
5	2.6837	321
4	2.6773	322
3	2.6849	323
2	2.7083	324
5	2.6651	325
4	2.6179	326
3	2.6092	327
2	2.587	328
1	2.5935	329
5	2.6068	330
4	2.6304	331
3	2.603	332
2	2.6017	333
1	2.5859	334
5	2.5729	335
4	2.5833	336
3	2.601	337
2	2.6161	338
